Departure,Arrival,Airline,Price,Connection,DurationMin,DepHour
07:45,08:25,Pegasus,4360.99,ISTECN,1sa 40dk,07:45
18:30,19:10,Pegasus,4360.99,ISTECN,1sa 40dk,18:30
17:40,18:10,Pegasus,4524.99,SAWECN,1sa 30dk,17:40
23:10,23:40,Pegasus,4696.99,SAWECN,1sa 30dk,23:10
05:55,06:25,Pegasus,5156.99,SAWECN,1sa 30dk,05:55
20:30,21:00,Pegasus,5275.99,SAWECN,1sa 30dk,20:30
19:05,19:35,Pegasus,5781.99,SAWECN,1sa 30dk,19:05
21:30,19:10,AJet,5964.99,SAWADBECN,22sa 40dk,21:30
19:10,19:10,AJet,5964.99,SAWADBECN,1g 1sa,19:10
16:15,16:45,Pegasus,5972.99,SAWECN,1sa 30dk,16:15
05:45,19:10,AJet,6064.99,SAWADBECN,14sa 25dk,05:45
14:40,15:20,Türk Hava Yolları,6264.99,ISTECN,1sa 40dk,14:40
19:50,20:30,Türk Hava Yolları,6264.99,ISTECN,1sa 40dk,19:50
18:15,19:15,AJet,6359.99,SAWESBECN,1g 2sa,18:15
01:05,19:10,AJet,6360.99,SAWADBECN,19sa 5dk,01:05
20:45,21:15,AJet,6844.99,SAWECN,1sa 30dk,20:45
07:55,08:25,Pegasus,6881.99,SAWECN,1sa 30dk,07:55
18:15,15:45,AJet,7059.99,SAWESBECN,22sa 30dk,18:15
19:35,23:00,Pegasus,7068.99,SAWESBECN,4sa 25dk,19:35
15:55,19:10,AJet,7110.99,SAWADBECN,4sa 15dk,15:55
13:20,19:10,AJet,7110.99,SAWADBECN,6sa 50dk,13:20
09:10,19:10,AJet,7110.99,SAWADBECN,11sa,09:10
21:00,19:15,AJet,7259.99,SAWESBECN,23sa 15dk,21:00
14:40,15:45,AJet,7259.99,SAWESBECN,1g 2sa 5dk,14:40
00:25,01:00,AJet,7864.99,SAWECN,1sa 35dk,00:25
05:25,06:00,AJet,7864.99,SAWECN,1sa 35dk,05:25
18:00,18:35,AJet,7864.99,SAWECN,1sa 35dk,18:00
21:00,15:45,AJet,7979.99,SAWESBECN,19sa 45dk,21:00
19:45,11:30,AJet,8327.99,SAWCOVECN,16sa 45dk,19:45
16:55,11:30,AJet,8327.99,SAWCOVECN,19sa 35dk,16:55
19:45,18:30,AJet,8327.99,SAWCOVECN,23sa 45dk,19:45
14:25,20:05,Türk Hava Yolları,8635.99,ISTAYTECN,6sa 40dk,14:25
06:20,18:30,AJet,8727.99,SAWCOVECN,13sa 10dk,06:20
10:10,10:40,Pegasus,8900.99,SAWECN,1sa 30dk,10:10
15:30,20:05,Türk Hava Yolları,9062.99,ISTAYTECN,5sa 35dk,15:30
07:45,08:20,Türk Hava Yolları,9327.99,ISTECN,1sa 35dk,07:45
15:45,16:30,Türk Hava Yolları,9327.99,ISTECN,1sa 45dk,15:45
01:35,18:30,AJet,9482.99,SAWCOVECN,17sa 55dk,01:35
06:20,11:30,AJet,9682.99,SAWCOVECN,6sa 10dk,06:20
01:35,11:30,AJet,10182.99,SAWCOVECN,10sa 55dk,01:35
12:40,13:10,Pegasus,10272.99,SAWECN,1sa 30dk,12:40
13:40,20:05,Türk Hava Yolları,10784.99,ISTAYTECN,7sa 25dk,13:40
12:55,20:05,Türk Hava Yolları,10784.99,ISTAYTECN,8sa 10dk,12:55
14:40,19:15,AJet,10976.99,SAWESBECN,5sa 35dk,14:40
05:45,19:15,AJet,10976.99,SAWESBECN,14sa 30dk,05:45
13:00,13:35,AJet,11061.99,SAWECN,1sa 35dk,13:00
01:30,19:15,AJet,11176.99,SAWESBECN,18sa 45dk,01:30
08:00,19:15,AJet,11376.99,SAWESBECN,12sa 15dk,08:00
10:00,19:15,AJet,11876.99,SAWESBECN,10sa 15dk,10:00
11:45,19:15,AJet,12126.99,SAWESBECN,8sa 30dk,11:45
18:15,08:05,AJet,12276.99,SAWESBECN,14sa 50dk,18:15
14:40,08:05,AJet,12476.99,SAWESBECN,18sa 25dk,14:40
08:00,08:05,AJet,12876.99,SAWESBECN,1g 1sa 5dk,08:00
21:00,08:05,AJet,13302.99,SAWESBECN,12sa 5dk,21:00
10:00,08:05,AJet,13502.99,SAWESBECN,23sa 5dk,10:00
11:45,08:05,AJet,13752.99,SAWESBECN,21sa 20dk,11:45
05:45,15:45,AJet,14102.99,SAWESBECN,11sa,05:45
01:30,08:05,AJet,14302.99,SAWESBECN,7sa 35dk,01:30
01:30,15:45,AJet,14302.99,SAWESBECN,15sa 15dk,01:30
08:00,15:45,AJet,14502.99,SAWESBECN,8sa 45dk,08:00
10:00,15:45,AJet,15002.99,SAWESBECN,6sa 45dk,10:00
11:45,15:45,AJet,15252.99,SAWESBECN,5sa,11:45
09:50,10:30,Türk Hava Yolları,17738.99,ISTECN,1sa 40dk,09:50
